from,to
Trash,potteryorceramic
potteryorceramic,flowerpots
Trash,autoproducts
autoproducts,batteries:carorboat
autoproducts,carorboatparts
carORboatparts,carparts
carparts,fenders
carparts,tyresandbelts
tyresandbelts,tires
tires,tyreswithoutholesorwheels
tires,tyreswithholes
carparts,wheels
carORboatparts,boatparts
autoproducts,motorbikesorparts
autoproducts,"vehicledebris,large"
autoproducts,"vehicledebris,small"
Trash,bags
bags,backpacks&bags
bags,bag(grocery)
bag(grocery),shoppingbagsincl.pieces
shoppingbagsincl.pieces,bagends
bags,bag(trash)
bags,"bag(zip-lock,produce,other)"
"bag(zip-lock,produce,other)","smallplasticbags,e.g.,freezerbags"
bags,bulkbags
bags,degradedbag
bags,dogwastebags
bags,meshvegetablebags
bags,sacking
take-outfoodbags,singleuseplasticcarryoutbags
bags,take-outfoodbags
Trash,batteries
batteries,batteries(acidicandalkaline)
Trash,"bolts,nails,andscrews"
Trash,cableties
Trash,clothingortowelsorglovesorshoes
clothingORtowelsORglovesORshoes,"clothing,hats,gloves&towels"
"clothing,hats,gloves&towels",clothingortowelorgloves
clothingORtowelORgloves,clothingorrags
clothingORrags,clothing
clothing,thongs
clothingORrags,towelsorrags
clothingORtowelORgloves,gloves
"clothing,hats,gloves&towels",hardhats
clothingORshoesORbeachtowels,clothing&shoes
clothing&shoes,shoesorsandals
shoesORsandals,boots
shoesORsandals,flip-flops
shoesORsandals,shoe
clothing&shoes,clothingORshoesORbeachtowels
clothingORshoesORbeachtowels,clothfragments
Trash,computerequiptment&otherelectronicdevices
computerequiptment&otherelectronicdevices,"cd,cd-box"
computerequiptment&otherelectronicdevices,smallelectronicitems
smallelectronicitems,e-wastefragments
smallelectronicitems,telephone(incl.parts)
Trash,corks
Trash,"cups,foodtrays,foodwrappers,drinkcontainers"
"cups,foodtrays,foodwrappers,drinkcontainers",beverageconatiners
beverageconatiners,bottles&jars
bottles&jars,beveragebottles
beveragebottles,drinkbottles>0.5l
beveragebottles,waterbottles
beveragebottles,sportdrinkbottles
beveragebottles,winebottle
beveragebottles,softdrinkbottles
beveragebottles,juicebottles
beveragebottles,"bottles,etc.>2l"
beveragebottles,bottles<2l
beveragebottles,liquorbottles
beveragebottles,fizzydrinkbottle
beveragebottles,iceteabottles
beveragebottles,beerbottle
beveragebottles,degradedbottle
beveragebottles,drinkbottles<=0.5l
beveragebottles,milkbottle
bottles&jars,foodjars
foodjars,jarsincl.pieces
beverageconatiners,cansortins
cansORtins,cans
cans,beveragecans
beveragecans,beercans
beveragecans,juicescans
beveragecans,iceteacan
beveragecans,energycan
beverageconatiners,cups
cups,"cups,lids,straws"
"cups,lids,straws",cupsandcuplids
"cups,lids,straws","straws,stirrers"
cups,takeawaycup
"cups,foodtrays,foodwrappers,drinkcontainers","bottlecaps,lids&pulltabs"
"bottlecaps,lids&pulltabs",pulltabs:beverages
"bottlecaps,lids&pulltabs",bottlecaps
"bottlecaps,lids&pulltabs",capsorlids
capsORlids,lids
"cups,foodtrays,foodwrappers,drinkcontainers",bottlelabel
"cups,foodtrays,foodwrappers,drinkcontainers",bottleneckrings
"cups,foodtrays,foodwrappers,drinkcontainers",cardboardcartons
cardboardcartons,juicecarton
cardboardcartons,milkcarton
"cups,foodtrays,foodwrappers,drinkcontainers",cups&plates
cups&plates,plates
"cups,foodtrays,foodwrappers,drinkcontainers",fastfoodcontainersorcups
"cups,foodtrays,foodwrappers,drinkcontainers",foodcans
"cups,foodtrays,foodwrappers,drinkcontainers",foodwrappersorcontainers
foodwrappersorcontainers,"ice-creamsticks,chipforks,chopsticks,toothpicks"
"ice-creamsticks,chipforks,chopsticks,toothpicks",icelollysticksorchipforks
icelollysticksORchipforks,lollysticks
icelollysticksORchipforks,lollipopsticks&cottonbuds
icelollysticksORchipforks,popsiclestick
foodwrappersorcontainers,otherfoodcansorwrappers
foodwrappersorcontainers,wrappers
wrappers,sweetpapers
wrappers,foodwrappers
foodwrappersorcontainers,crisporsweetorlollyorsandwichwrappers
crispORsweetORlollyORsandwichwrappers,crisppacketsorsweetswrappers
crisppacketsORsweetswrappers,crisppackets
crisppackets,crisplarge
crisppackets,crispsmall
foodwrappersorcontainers,coverorpackaging
"cups,foodtrays,foodwrappers,drinkcontainers",foodorbeverageware
foodORbeverageware,disposablefood&beverageware
disposablefood&beverageware,disposablebbq's
disposablefood&beverageware,rigidplasticdisposablefoodandbegerageware
"cups,foodtrays,foodwrappers,drinkcontainers",homefoodpackaging
"cups,foodtrays,foodwrappers,drinkcontainers",juicepacket
"cups,foodtrays,foodwrappers,drinkcontainers",saltpackaging
"cups,foodtrays,foodwrappers,drinkcontainers",saucepacket
"cups,foodtrays,foodwrappers,drinkcontainers",singlueusefoodcontainer
"cups,foodtrays,foodwrappers,drinkcontainers",straws
straws,degradedstraws
Trash,"cups,plates,tableware,dishes"
"cups,plates,tableware,dishes",4or6packyokes
4OR6packyokes,"six-packrings,ringcarriers"
"cups,plates,tableware,dishes","cups,plastes,forks,knives,spoons"
"cups,plastes,forks,knives,spoons","cups,plates,utensils"
"cups,plates,utensils",utensil
"cups,plates,utensils",coffeecup
coffeecup,coffeecuplid
"cups,plates,tableware,dishes",cutleryortraysorstrawsorcups
cutleryORtraysORstrawsORcups,cutleryortraysorstraws
cutleryORtraysORstraws,cutleryortrays
"cups,plates,tableware,dishes",streetfoodbowl
"cups,plates,tableware,dishes",tableware
tableware,napkins
Trash,film(thinkorflexiblee.g.strawwrapper)
film(thinkORflexiblee.g.strawwrapper),thinfilm
thinfilm,filmfragments
thinfilm,tape
tape,maskingtape
Trash,filmstrip
Trash,fishingrelated
fishingrelated,baitcontainersorcratesorlures
baitcontainersORcratesORlures,baitcontainersorcrates
baitcontainersORcrates,baitcontainersorpackaging
baitcontainersORpackaging,baitcontainers
Trash,fishingrelated
fishingrelated,bobbins(fishing)
fishingrelated,fishaggregatingdevices
fishingrelated,fishboxes
fishingrelated,fishhook
fishingrelated,fishingline
fishingline,fishingline(entangled)
fishingline,fishingline(anglers)
fishingrelated,fishinglineornet
fishinglineORnet,filament<5mm
fishinglineORnet,monofilamentnetorfiberupto5mm
fishinglineORnet,monofilamentnetorfiber5-30mm
fishinglineORnet,monofilamentnetorfiberlargerthan30mm
fishinglineORnet,netsandpiecesofnet
netsandpiecesofnet,fishingnets
netsandpiecesofnet,netsandpiecesofnet<50cm
netsandpiecesofnet,netsandpiecesofnet>50cm
netsandpiecesofnet,fishingnetandnetpieces>50cm
fishingrelated,fishinglures&line
fishinglures&line,fishingluresorlightsticks
fishingluresorlightsticks,fishinglures
fishingrelated,fishingrubbertailbaits&weights
fishingrubbertailbaits&weights,fishingweights
fishingweights,scubaweights
fishingrelated,fishingtrapsandpots
fishingtrapsandpots,fishpot
fishingtrapsandpots,fishpot(eel)
fishingtrapsandpots,octopuspots
fishingtrapsandpots,traporpotpieces
fishingtrapsandpots,craborlobsterorfishtraps
craborlobsterorfishtraps,crabtrapinneedofremoval
craborlobsterorfishtraps,crabtrapthathasbeenremoved
fishingtrapsandpots,derelicttrapsortrappieces
fishingtrapsandpots,lobsterorcrabpots&tops
fishingrelated,"fishing:lures,rodsorpoles"
fishingrelated,"fishing:sinkers,lures,hooks"
fishingrelated,fishingweightsorhooksorlures
fishingrelated,floats(fishingbuoys)orreels
floats(fishingbuoys)ORreels,"fishingbouys,pots&traps"
"fishingbouys,pots&traps",buoys&floats
buoys&floats,buoys
buoys&floats,floatsforfishingnets
fishingrelated,lobsterandfishtags
fishingrelated,lobsterclawbands
fishingrelated,oysternetsormusselbagsincludingplasticstoppers
fishingrelated,oystertrays(roundfromoystercultures)
fishingrelated,"sails,canvas"
fishingrelated,scuba&snorkelgear
scuba&snorkelgear,fintrees(fromfinsforscubadiving)
Trash,foil
Trash,fragments
fragments,fibreglassorfragments
Trash,hooksettdisks
Trash,industrialpackagingorcratesorsheeting
Trash,largedebrisitems
largedebrisitems,"advertisements,signs"
"advertisements,signs",forsaleposters
"advertisements,signs",electionposters
largedebrisitems,anchor
largedebrisitems,"appliances,bikes,carts"
"appliances,bikes,carts",appliances
largedebrisitems,beamsordunnage
largedebrisitems,carpet&furnishing
carpet&furnishing,carpet(synthetic)
carpet&furnishing,floorcover
carpet&furnishing,furniture
largedebrisitems,cartsorparts
largedebrisitems,"constructionmaterial(brick,cement,pipes)"
"constructionmaterial(brick,cement,pipes)","bar,pipe,orwire"
"bar,pipe,orwire",pipes&rebar
pipes&rebar,piping
"constructionmaterial(brick,cement,pipes)","bricks,cinderblocks,chunksofcement"
largedebrisitems,fencing
largedebrisitems,fertilizeroranimalfeedbags
largedebrisitems,filterbox
largedebrisitems,inner-tubes&rubbersheets
largedebrisitems,mattressorfoam
largedebrisitems,plasters
largedebrisitems,scrapormetalappliancesorpainttins
largedebrisitems,shoppingtrolleys
largedebrisitems,signsorcones
signsORcones,trafficcones
largedebrisitems,"wire,wiremesh,barbedwire"
Trash,lightbulbsortubes
lightbulbsORtubes,"lightglobes:bulbs,etc"
lightbulbsORtubes,lightsticks(tubeswithfluid)
Trash,lumberorbuildingmaterial
lumberORbuildingmaterial,woodboards
woodboards,pallets
Trash,macroplastics
Trash,mediumplastics
Trash,miscellaneousitems
miscellaneousitems,otheridentifiableitems
miscellaneousitems,othermixed
miscellaneousitems,toiletfresheners
Trash,non-foodrelatedplasticpackaging
Trash,"otherbottles,containersanddrums"
"otherbottles,containersanddrums",aerosolcans
"otherbottles,containersanddrums",chemicalsandchemicalcontainers
"otherbottles,containersanddrums","baskets,crates"
"otherbottles,containersanddrums",barrels
"otherbottles,containersanddrums","buckets,drums&jerrycans:2litresormore"
"otherbottles,containersanddrums","cleaner(bottles,containersanddrums)"
"otherbottles,containersanddrums",drums
drums,drums:55gallon
drums,oildrums
"otherbottles,containersanddrums","gasbottles,drums&buckets(>4l)"
"otherbottles,containersanddrums",non-beveragecontainersorbottles
non-beveragecontainersORbottles,"beachuserelatedcosmeticbottlesand.containers,e.g.sunblock"
non-beveragecontainersORbottles,"bottles:bleach,cleaner"
non-beveragecontainersORbottles,bottles:oilorlube
non-beveragecontainersORbottles,buckets
non-beveragecontainersORbottles,containersortubes
non-beveragecontainersORbottles,"cosmetics(bottles&containerse.g.sunlotion,shampoo,showergel,deodorant)"
non-beveragecontainersORbottles,cratesandcontainersorbaskets
cratesandcontainersorbaskets,cratesandcontainers
cratesandcontainers,crates
non-beveragecontainersORbottles,jerrycans(squareplasticcontainerswithhandle)
non-beveragecontainersORbottles,middlesizecontainers
non-beveragecontainersORbottles,oilorpetrolcan
oilorpetrolcan,engineoilbottles&containers<50cm
oilorpetrolcan,engineoilbottles&containers>50cm
non-beveragecontainersORbottles,othercans(<4l)
non-beveragecontainersORbottles,otherjugsorcontainers
Trash,otherorganicwaste
otherorganicwaste,baggeddogfaeces
otherorganicwaste,dogpoop(unbagged)
otherorganicwaste,food
food,drinks
drinks,sportsdrink
drinks,coffeeother
drinks,alcoholother
otherorganicwaste,oilortar
oilORtar,oil
otherorganicwaste,slackorcoal
Trash,packaging
packaging,shippingorpackaging
shippingORpackaging,insulation&packaging
Trash,paintbrushes
Trash,painttins
Trash,paper
paper,cardboard
paper,"newspaper,books"
"newspaper,books",books
paper,newspapers&magazines
newspapers&magazines,magazines
paper,paperornapkinsortissues
paper,parkingtickets&reciepts
parkingtickets&reciepts,reciepts
Trash,paraffinorwax
Trash,pellet
pellet,industrialpellets
pellet,resinpellets
pellet,threadlikeuserpellets
Trash,pensorpencils
pensORpencils,pens
Trash,personalcareproducts
personalcareproducts,bandages
personalcareproducts,blisterpack
personalcareproducts,combsorhairbrushesorsunglasses
combsORhairbrushesORsunglasses,combsorhairbrushes
combsORhairbrushesORsunglasses,sunglasses
personalcareproducts,contraceptives
personalcareproducts,cottonbudsticks
personalcareproducts,drugs
personalcareproducts,earplugs
personalcareproducts,femininehygeneitems
personalcareproducts,hairtie
personalcareproducts,inhaler
personalcareproducts,medicalorpharmaceuticalscontainersortubes
medicalORpharmaceuticalscontainersORtubes,"othermedicalitems(swabs,bandagingetc.)"
personalcareproducts,personalcareproducttube
personalcareproducts,sanitaryproduct
sanitaryproduct,condoms
sanitaryproduct,injectionguncontainers
sanitaryproduct,wetwipes
sanitaryproduct,diapersornappies
diapersORnappies,diapers
sanitaryproduct,toothpick
sanitaryproduct,toiletpaper
sanitaryproduct,toothbrushes
sanitaryproduct,dentalflossers
sanitaryproduct,towelsorpantylinersorbackingstrips
towelsORpantylinersORbackingstrips,pantyliners
sanitaryproduct,sanitarytowelortampon
sanitarytowelORtampon,tamponsortamponapplicators
tamponsORtamponapplicators,tamponapplicators
tamponsORtamponapplicators,tampons
sanitarytowelORtampon,sanitarytowels
personalcareproducts,"sharpneedles,lancets,metalcatheters"
personalcareproducts,syringes
syringes,drugparaphanaliaorsyringes
personalcareproducts,toiletries
toiletries,deoderant
toiletries,facemask
Trash,ropeorfishingline
ropeORfishingline,rope
rope,rope<1meter
rope,rope>1meter
rope,ropediameter<1cm
rope,ropediameter>1cm
rope,ropelarge
rope,ropemedium
rope,ropesmall
ropeORfishingline,ropesorstrappingbands
ropesORstrappingbands,strappingbands
strappingbands,strappingbandsorzip-ties
strappingbands,strappingbands(open)
strappingbands,strappingbands(closed)
Trash,rubberbands
Trash,sheeting
sheeting,sheeting<30cm
sheeting,sheeting>60cm
sheeting,sheeting30-60cm
sheeting,"sheeting:tarpaulin,plasticsheets,palettewrap"
"sheeting:tarpaulin,plasticsheets,palettewrap",agriculturaltarpaulinandpackaging
sheeting,sheetlikeuserpellets
sheeting,sheetlikeuserplastic(>1mm)
Trash,shotguncartridges
Trash,sponge
Trash,tanglednetsorcordorropeandstring
tanglednetsORcordORropeandstring,rope&string
rope&string,string
Trash,tobaccopackaging&wrappers
tobaccopackaging&wrappers,cigartips
tobaccopackaging&wrappers,cigarettematerials
cigarettematerials,cigarettebuttsandfilters
cigarettebuttsandfilters,cigarettefilters
cigarettebuttsandfilters,cigarettebutts
cigarettematerials,cigarettelightersortobaccopouches
cigarettelightersORtobaccopouches,cigarettepackets
cigarettelightersORtobaccopouches,cigarettelighters
cigarettelighters,degradedlighters
cigarettelightersORtobaccopouches,tobaccosachets
tobaccopackaging&wrappers,cigarettesorcigartips
Trash,toysorpartypoppersorfireworksordummies
toysORpartypoppersORfireworksORdummies,"balloon,tennisball,football,dogtoy"
"balloon,tennisball,football,dogtoy",balloonsandballoonsticks
balloonsandballoonsticks,balloons
toysORpartypoppersORfireworksORdummies,fireworks
fireworks,tubesforfireworks
fireworks,matches(&fireworks)
toysORpartypoppersORfireworksORdummies,"toys,balls,partypoppers"
"toys,balls,partypoppers","toys,balls"
"toys,balls",balls
balls,football
balls,golfball
"toys,balls",pegsandchips
"toys,balls,partypoppers",toys&partypoppers
"toys,balls,partypoppers",toys
Trash,trap
trap,woodentrap
Trash,wire
wire,cables
Trash,microplastic
microplastic,fiber
microplastic,nurdle
microplastic,foam
microplastic,sphere
microplastic,line
microplastic,bead
microplastic,sheet
microplastic,film;fragment
Film;Fragment,film
Film;Fragment,fragment
microplastic,rubberyfragment
microplastic,fiberbundle
microplastic,other