X1,X2,X3,X4
glass/ceramic,glass,fibreglass, 
glass/ceramic,ceramic, , 
plastic,foam, , 
plastic,rubber, , 
plastic,soft plastics, , 
plastic,hard plastics, , 
plastic,vinyl, , 
biohazard,sanitary waste, , 
biohazard,faeces, , 
organic,leather, , 
organic,food, , 
organic,wood and paper,wood,processed wood
organic,wood and paper,paper/cardboard,paper
organic,cloth,wool, 
organic,cloth,cotton, 
metal, , , 
other, , , 
concrete/asphalt, , , 
nonpolymeric, , , 
mineral, , , 
plastic,Polyesters,PEST, 
plastic,Polyolefins (POLYALKENES) ,PE, 
plastic,Polyolefins (POLYALKENES) ,PP, 
plastic,Polyamides (POLYLACTAMS),PA, 
plastic,Other Plastic,PE+PS, 
plastic,Polystyrenes (POLYPHENYLETHYLENES),PS, 
plastic,Cellulose Derivatives (Ether Cellulose),CA, 
plastic,Polyhaloolefins (Vinylhalides),PVC, 
plastic,"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",ER, 
plastic,Polyacrylamides,PAM, 
plastic,Polyterephthalates,PET, 
plastic,Other Plastic,Plastic additive, 
plastic,Polyterephthalates,PBT, 
plastic,Polyurethanes (isocya tes),PU, 
plastic,Other Plastic,PET-PEST, 
plastic,Polyacrylonitriles (Nitriles),PAN, 
plastic,Polysiloxanes,Silicone, 
plastic,Polyacrylates (Propenoates),Acrylic, 
plastic,Other Plastic,Vinyl, 
plastic,Other Plastic,Vinyon, 
plastic,Other Plastic,Other, 
plastic,Other Plastic,PA;ER, 
plastic,Polyterephthalates,PTT, 
plastic,Other Plastic,PE+PP, 
plastic,Other Plastic,PPS, 
plastic,Cellulose Derivatives (Ether Cellulose),Rayon, 
plastic,Polyacrylates (Propenoates),PAA, 
plastic,Polysiloxanes,PMPS, 
plastic,Other Plastic,PI, 
plastic,Polyolefins,Olefin, 
plastic,Other Plastic,Styrene-butadiene, 
plastic,Other Plastic,PBA, 
plastic,Polymethacrylates,PMMA, 
plastic,Other Plastic,Cellophane, 
plastic,Other Plastic,SAN, 
plastic,Polycarbo tes,PC, 
plastic,Polysiloxanes,PDMS, 
plastic,Other Plastic,PLA, 
plastic,Polyhaloolefins (Vinylhalides),PTFE, 
plastic,Other Plastic,SBR, 
plastic,Other Plastic,PET+olefin, 
plastic,Other Plastic,PES, 
plastic,Other Plastic,ABS, 
plastic,Other Plastic,LDPE, 
plastic,Other Plastic,PEVA, 
plastic,Other Plastic,AR, 
plastic,Polyvinylalcohols,PVA,
plastic,Other Plastic,Other plastic, 
plastic,Other Plastic,semi-synthetic cellulose, 
plastic,Polyhaloolefins (Vinylhalides),PVDF, 
plastic,Other Plastic,PAI, 
plastic,Other Plastic,neoprene, 
plastic,Polyacrylamides,Poly(N-isopropyl acrylamide), 
plastic,Polyacrylamides,Poly(N-octyl acrylamide), 
plastic,Polyacrylamides,Poly(N-tert-butyl acrylamide), 
plastic,Polyacrylamides,Poly(N-phenyl acrylamide), 
plastic,Polyacrylamides,Poly(N-sec-butyl acrylamide), 
plastic,Polyacrylates (Propenoates),Poly(benzyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(butyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(4-chlorophenyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(2-cyanoethyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(cyanomethyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(cyclohexyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(ethyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(2-ethylhexyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(hexyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(isobutyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(isopropyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(methyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(octyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(propyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(sec-butyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(stearyl acrylate), 
plastic,Polyacrylates (Propenoates),Poly(tert-butyl acrylate), 
plastic,Polyacrylates (Propenoates),"Poly(2,2,3,3-Tetrafluoropropyl acrylate)", 
plastic,Polyacrylonitriles (Nitriles),Poly(methacrylonitrile), 
plastic,Polyacrylonitriles (Nitriles),Poly(butylene adipate), 
plastic,Polyacrylonitriles (Nitriles),Poly(ethylene adipate), 
plastic,Polyacrylonitriles (Nitriles),Poly(propylene adipate), 
plastic,Polyolefins (POLYALKENES),Poly(butylene), 
plastic,Polyolefins (POLYALKENES),Poly(butyl ethylene), 
plastic,Polyolefins (POLYALKENES),Poly(cyclohexylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(heptylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(hexylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(isobutene), 
plastic,Polyolefins (POLYALKENES),Poly(isobutylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(isopropylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(2-methylbutene), 
plastic,Polyolefins (POLYALKENES),Poly(octylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(pentylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(propylethylene), 
plastic,Polyolefins (POLYALKENES),Poly(tert-butylethylene), 
plastic,Polyamides (POLYLACTAMS),Nylon 3 - Poly(propiolactam), 
plastic,Polyamides (POLYLACTAMS),Nylon 6 - Poly(caprolactam), 
plastic,Polyamides (POLYLACTAMS),Nylon 8 - Polycapryllactam, 
plastic,Polyamides (POLYLACTAMS),Nylon 10 - Poly(decano-10-lactam),
plastic,Polyamides (POLYLACTAMS),Nylon 11 - Poly(undecano-11-lactam),
plastic,Polyamides (POLYLACTAMS),Nylon 12 - Poly(dodecano-12-lactam),
plastic,Polyamides (POLYLACTAMS),"Nylon 4,6 - Poly(tetramethylene adipamide)",
plastic,Polyamides (POLYLACTAMS),"Nylon 6,6 - Poly(hexamethylene adipamide)",
plastic,Polyamides (POLYLACTAMS),"Nylon 6,9 - Poly(hexamethylene azelamide)",
plastic,Polyamides (POLYLACTAMS),"Nylon 6,10 - Poly(hexamethylene sebacamide)",
plastic,Polyamides (POLYLACTAMS),"Nylon 6,12 - Poly(hexamethylene dodecanediamide)",
plastic,Polyamides (POLYLACTAMS),"Nylon 10,10 - Poly(decamethylene sebacamide)",
plastic,Polyamides (POLYLACTAMS),"Poly(hexamethylene isophthalamide), PA 6I",
plastic,Polyamides (POLYLACTAMS),"Poly(hexamethylene teraphthalamide), PA 6T",
plastic,Polyamides (POLYLACTAMS),Kevlar - Polyaramide,
plastic,Polyamides (POLYLACTAMS),Nomex - Poly(m-phenylene terephthalamide),
plastic,Polyamides (POLYLACTAMS),"Poly(nonanmethylene teraphthalamide), PA 9T",
plastic,Polyanhydrides,Poly(p-pentamethylenedibenzoic anhydride),
plastic,Polyanhydrides,Poly(p-tetramethylenedibenzoic anhydride),
plastic,Polyanhydrides,Poly(sebacic anhydride),
plastic,Polyanhydrides,Poly(azelaic anhydride),
plastic,"Polydienes (Butadienes, Isoprenes)","Poly(1,2-butadiene)",
plastic,"Polydienes (Butadienes, Isoprenes)","Poly(1,4-butadiene)",
plastic,"Polydienes (Butadienes, Isoprenes)","Poly(1-ethyl-1,4-butadiene)",
plastic,"Polydienes (Butadienes, Isoprenes)","1,4-Polyisoprene (cis and trans)(Latex)",
plastic,"Polydienes (Butadienes, Isoprenes)","Poly(1,4-pentadiene)",
plastic,"Polydienes (Butadienes, Isoprenes)",Poly(1-pentenylene),
plastic,Polyfumarates (POLYBUTENEDIOATES),Poly(dimethyl fumarate),
plastic,Polyfumarates (POLYBUTENEDIOATES),Poly(dibutyl fumarate),
plastic,Polyfumarates (POLYBUTENEDIOATES),Poly(diethyl fumarate),
plastic,Polyfumarates (POLYBUTENEDIOATES),Poly(dipropyl fumarate),
plastic,Polycarbonates,Poly(bisphenol A carbonate),
plastic,Polycarbonates,"Poly(4,4'-thiodiphenylene carbonate)",
plastic,Polycarbonates,Poly(bisphenol B carbonate),
plastic,Polycarbonates,Poly(bisphenol F carbonate),
plastic,Polycarbonates,Poly(ethylene carbonate),
plastic,Polycarbonates,Poly(propylene carbonate),
plastic,Polycarbonates,"Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)",
plastic,Polycarbonates,Poly(tetramethyl bisphenol A carbonate),
plastic,Cellulose Derivatives (Ether Cellulose),Rayon,
plastic,Cellulose Derivatives (Ether Cellulose),Cellulose Nitrate,
plastic,Cellulose Derivatives (Ether Cellulose),Methyl Cellulose,
plastic,Cellulose Derivatives (Ether Cellulose),Ethyl Cellulose,
plastic,Polyhaloolefins (Vinylhalides),Poly(chlorotrifluoroethylene),
plastic,Polyhaloolefins (Vinylhalides),Poly(vinyl bromide),
plastic,Polyhaloolefins (Vinylhalides),Poly(vinyl fluoride),
plastic,Polyhaloolefins (Vinylhalides),Poly(vinylidene chloride),
plastic,Polycyanoacrylates,Poly(methyl cyanoacrylate),
plastic,Polycyanoacrylates,Poly(ethyl cyanoacrylate),
plastic,Polycyanoacrylates,Poly(butyl cyanoacrylate),
plastic,Polycyanoacrylates,Poly(hexyl cyanoacrylate),
plastic,Polycyanoacrylates,Poly(octyl cyanoacrylate),
plastic,"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Bisphenol-A diglycidyl ether epoxy resin,
plastic,"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Bisphenol-F diglycidyl ether epoxy resin,
plastic,"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Poly(bis-A diglycidyl ether- alt - ethylenediamine),
plastic,"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Poly(bis-A diglycidyl ether- alt - hexamethylenediamine),
plastic,"PolyDiglycidyl Ethers (POLYEPOXIDES, POLYHYDROXYETHERS, Phenoxy)",Poly(bis-A diglycidyl ether- alt - octamethylenediamine),
plastic,Polyesters,Poly(caprolactone),
plastic,Polyesters,Poly(ethylene naphthalate),
plastic,Polyesters,Poly(ethylene phthalate),
plastic,Polyesters,Polyglycolide,
plastic,Polyesters,Poly(3-hydroxybutyrate),
plastic,Polyesters,Poly(4-hydroxybutyrate),
plastic,Polyesters,Polylactic acid,
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Polyacetal - Polyoxymethylene,
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(3-butoxypropylene oxide),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(epichlorohydrin),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(ethylene glycol),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(hexamethylene oxide),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(3-methoxypropylene oxide),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly[oxy(hexyloxymethyl)ethylene],
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(oxymethylene-oxyethylene),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(oxymethylene-oxytetramethylene),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(propylene glycol),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(tetrahydrofuran),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)",Poly(trimethylene glycol),
plastic,"Polyethers (POLYGLYCOLS, Oxyalkylenes, GLYCIDYL ETHERS & CYCLIC ETHERS)","Poly[1,1-bis(chloromethyl)trimethylene oxide]",
plastic,Poly(Ether)ketones (POLYKETONES),PEK - Poly(ether ketone),
plastic,Poly(Ether)ketones (POLYKETONES),PEKK - Poly(ether ketone ketone),
plastic,Poly(Ether)ketones (POLYKETONES),PEEK - Poly(ether ether ketone),
plastic,Poly(Ether)ketones (POLYKETONES),Poly(ethyleneketone),
plastic,Poly(Ether)ketones (POLYKETONES),Poly(propyleneketone),
plastic,Polyethersulfones (POLYSULFONE),Poly(ether ether sulfone),
plastic,Polyethersulfones (POLYSULFONE),Poly(ethersulfone),
plastic,Polyethersulfones (POLYSULFONE),Poly(phenylsulfone),
plastic,Polyethersulfones (POLYSULFONE),Bisphenol A Polysulfone,
plastic,Polyhalodienes,PoIy(1-chloro-1-butenylene) (Polychloroprene),
plastic,Polyhalodienes,Poly(1-bromo-1-butenylene) (Polybromoprene),
plastic,Polyhalostyrenes,Poly(4-bromostyrene),
plastic,Polyhalostyrenes,Poly(2-chlorostyrene),
plastic,Polyhalostyrenes,Poly(3-chlorostyrene),
plastic,Polyhalostyrenes,Poly(4-chlorostyrene),
plastic,Polyhalostyrenes,"Poly(2,5-difluorostyrene)",
plastic,Polyhalostyrenes,Poly(4-fluorostyrene),
plastic,Polyhydroxy(meth)acrylates,Poly(2-hydroxyethyl acrylate),
plastic,Polyhydroxy(meth)acrylates,Poly(2-hydroxyethyl methacrylate),
plastic,Polyhydroxy(meth)acrylates,Poly(2-hydroxypropyl methacrylate),
plastic,Polyurethanes (isocyanates),"Poly[(diethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]",
plastic,Polyurethanes (isocyanates),"Poly[(tetraethylene glycol)-alt-(1,6-hexamethylene diisocyanate)]",
plastic,Polyurethanes (isocyanates),"Poly[(1,4-butanediol)-alt-(4,4'-diphenylmethane diisocyanate)]",
plastic,Polyurethanes (isocyanates),"Poly[(ethylene glycol)-alt-(4,4'-diphenylmethane diisocyanate)]",
plastic,Polyurethanes (isocyanates),"Poly[(polytetrahydrofuran 1000)-alt-(4,4'-diphenylmethane diisocyanate)]",
plastic,Polyisophthalates,Poly(Bisphenol A isophthalate),
plastic,Polyisophthalates,Poly(butylene isophthalate),
plastic,Polyisophthalates,Poly(ethylene isophthalate),
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[dimethyl itaconate],
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[di(n-propyl) itaconate],
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[di(n-butyl) itaconate],
plastic,POLYITACONATES (POLYMETHYLENE SUCCINATES),Poly[di(n-hexyl) itaconate],
plastic,Polymethacrylamides,Poly(N-acetylmethacrylamide),
plastic,Polymethacrylamides,Poly(N-benzyl methacrylamide),
plastic,Polymethacrylamides,Poly(methacrylamide),
plastic,Polymethacrylamides,Poly(N-tert-butylmethacrylamide),
plastic,Polymethacrylates,Poly(methacrylic acid),
plastic,Polymethacrylates,Poly(benzyl methacrylate),
plastic,Polymethacrylates,Poly(butyl methacrylate),
plastic,Polymethacrylates,Poly(cyclohexyl methacrylate),
plastic,Polymethacrylates,Poly(decylmethacrylate),
plastic,Polymethacrylates,Poly(dodecylmethacrylate),
plastic,Polymethacrylates,Poly(2-ethoxyethyl methacrylate),
plastic,Polymethacrylates,Poly(ethyl methacrylate),
plastic,Polymethacrylates,Poly(hexyl methacrylate),
plastic,Polymethacrylates,Poly(isobutyl methacrylate),
plastic,Polymethacrylates,Poly(isopropyl methacrylate),
plastic,Polymethacrylates,Poly(octadecyl methacrylate),
plastic,Polymethacrylates,Poly(octyl methacrylate),
plastic,Polymethacrylates,Poly(2-phenylethyl methacrylate),
plastic,Polymethacrylates,Poly(phenyl methacrylate),
plastic,Polymethacrylates,Poly(propyl methacrylate),
plastic,Polymethacrylates,Poly(2-chloroethyl methacrylate),
plastic,Polymethacrylates,Poly(sec-butyl methacrylate),
plastic,Polymethacrylates,Poly(4-tert-butylcyclohexyl methacrylate),
plastic,Polymethacrylates,Poly(tert-butyl methacrylate),
plastic,Polymethacrylates,"Poly(2,2,3,3-tetrafluoropropyl methacrylate)",
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(2-methoxystyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(_-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(2-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(3-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(4-methylstyrene),
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Polystyrene,
plastic,"POLYSTYRENES (POLYPHENYLETHYLENES, _-Methylstyrene)",Poly(4-tert-butylstyrene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(p-phenylene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(p-phenylene vinylene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(p-xylene),
plastic,Polyphenylenes (POLYAROMATICS),Poly(2-chloro-p-xylylene),
plastic,Polyphenylethers (POLYPHENYLENEOXIDE),"Poly(2,6-dimethyl-p-phenylene oxide)",
plastic,Polyphenylethers (POLYPHENYLENEOXIDE),"Poly(2,6-diphenyl-p-phenylene oxide)",
plastic,Polyphenylethers (POLYPHENYLENEOXIDE),Poly(p-phenylene oxide),
plastic,Polysebacates,Poly(butylene sebacate),
plastic,Polysebacates,Poly(ethylene sebacate),
plastic,Polysebacates,Poly(hexylene sebacate),
plastic,Polysiloxanes,Poly(diethylsiloxane) (PDES),
plastic,Polysuccinates,"Poly(1,4-butylene succinate)",
plastic,Polysuccinates,Poly(ethylene succinate),
plastic,Polysuccinates,"Poly(1,6-hexylene succinate)",
plastic,Polysuccinates,Poly(trimethylene succinate),
plastic,Polyterephthalates,Poly(Bisphenol A terephthalate),
plastic,Polyterephthalates,Poly(cyclohexylenedimethylene terephthalate),
plastic,Polyterephthalates,Poly(trimethylene terephthalate),
plastic,Polythioethers (Sulfides),"Poly(thio-1,4-phenylene)",
plastic,Polythioethers (Sulfides),Poly(ethylene sulfide),
plastic,Polythioethers (Sulfides),Poly(propylene sulfide),
plastic,Polyvinylalcohols,Poly(4-vinyl phenol),
plastic,Polyvinylalcohols,Poly(vinyl butyral),
plastic,Polyvinylalcohols,Poly(vinyl formal),
plastic,Polyvinylesters,Poly(vinyl acetate),
plastic,Polyvinylesters,Poly(vinyl benzoate),
plastic,Polyvinylesters,Poly(vinyl butyrate),
plastic,Polyvinylesters,Poly(vinyl caproate),
plastic,Polyvinylesters,Poly(vinyl formate),
plastic,Polyvinylesters,Poly(vinyl propionate),
plastic,Polyvinylesters,Poly(vinyl stearate),
plastic,Polyvinylesters,Poly(vinyl valerate),
plastic,Polyvinylethers,Poly(butyl vinyl ether),
plastic,Polyvinylethers,Poly(ethyl vinyl ether),
plastic,Polyvinylethers,Poly(hexyl vinyl ether),
plastic,Polyvinylethers,Poly(isobutyl vinyl ether),
plastic,Polyvinylethers,Poly(isopropyl vinyl ether),
plastic,Polyvinylethers,Poly(methyl vinyl ether),
plastic,Polyvinylethers,Poly(octyl vinyl ether),
plastic,Polyvinylethers,Poly(propyl vinyl ether),
plastic,Polyvinylethers,Poly(sec-butyl vinyl ether),
plastic,Polyvinylketones,Poly(vinyl ethyl ketone),
plastic,Polyvinylketones,Poly(vinyl methyl ketone),
plastic,Polyvinylketones,Poly(methyl isopropenyl ketone),
plastic,Polyvinylketones,Poly(vinyl phenyl ketone),
plastic,Polyvinylketones,Poly(vinyl pyrrolidone),
plastic,Polyvinylsulfides,Poly(vinyl butyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl ethyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl methyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl phenyl sulfide),
plastic,Polyvinylsulfides,Poly(vinyl propyl sulfide),
plastic,Other Plastic,polyhydroxyalkanoate (PHA),
plastic,Other Plastic,Phenol formaldehyde,
plastic,Other Plastic,Urea-formaldehyde,
plastic,Other Plastic,Melamine-formaldehyde,
plastic,Other Plastic,Isobutylene-isoprene,
plastic,Other Plastic,Ethylene-propylene,
plastic,Other Plastic,Styrene-maleic,
plastic,Other Plastic,Styrene-isoprene,
plastic,Other Plastic,EPDM rubber (ethylene propylene diene monomer rubber),