material,items
plastic,plastic fragments
plastic,food wrappers
plastic,beverage bottles
plastic,other jugs or containers
plastic,bottle or container caps
plastic,cigar tips
plastic,cigarettes
plastic,disposable cigarette lighters
plastic,6-pack rings
plastic,bags
plastic,plastic rope/small net pieces
plastic,buoys & floats
plastic,fishing lures & line
plastic,cups (including polystyrene/foamed plastic)
plastic,plastic utensils
plastic,straws
plastic,balloons
plastic,personal care products
plastic,other:
metal,aluminum/tin cans
metal,aerosol cans
metal,metal fragments
metal,other:
glass,beverage bottles
glass,jars
glass,glass fragments
glass,other:
rubber,flip-flops
rubber,gloves
rubber,tires
rubber,rubber fragments
rubber,other:
processed lumber,cardboard cartons
processed lumber,paper and cardboard
processed lumber,paper bags
processed lumber,lumber/building material
processed lumber,other:
cloth/fabric,clothing & shoes
cloth/fabric,gloves (non-rubber)
cloth/fabric,towels/rags
cloth/fabric,rope/net pieces (non-nylon)
cloth/fabric,fabric pieces
cloth/fabric,other: