Prime,Alias
constructionmaterials,constructionmaterials
constructionmaterials,"constructionmaterial,large"
constructionmaterials,"constructionmaterial,small"
constructionmaterials,lumber/buildingmaterials
constructionmaterials,constructionmaterial
constructionmaterials,constructionmaterialse.g.tiles
constructionmaterials,constructionwaste
constructionmaterials,"constructionmaterial(brick,pipes,etc)"
constructionmaterials,c&dmaterials
constructionmaterials,plasticconstructionwaste
constructionmaterials,constructiondebris
constructionmaterials,construction
constructionmaterials,industrialpackagingandconstructiondebris
constructionmaterials,industrialscrap
vehicledebris,vehicledebris
constructionmaterials,buildmaterials
commonhouseholditems,commonhouseholditems
electronicandelectricwaste,electronicandelectricwaste
electronicandelectricwaste,e-waste
fishinggear,fishinggear
fishinggear,"fishinggear(floats,lures,traps,pots)"
fishinggear,fisheriesandmariculturetackles
fishinggear,"fishingrelated(sinkers,lures,hooks,etc.)"
food-related,food-related
food-related,takeout/awaycontainers
food-related,take-away/foodstand
food-related,"food(e.g.pots,tubs,sachets)"
food-related,foodplastic
smoking-related,smoking-related
smoking-related,smoking-relatedactivities
smoking-related,smoking-relateditems
microplastics,microplastics
fishinggear,marinedebris
gardening&farmingrelated,gardening&farmingrelated
large,large
medical/hygiene,medical/hygiene
medical/hygiene,personalcare
nonfoodrelatedpackaging,nonfoodrelatedpackaging
nonfoodrelatedpackaging,non-foodretail
officesupplies,officesupplies
officesupplies,"officesupplies,pens,etc."
nonfoodrelatedpackaging,packingmaterial
recreationalfishingandhunting,recreationalfishingandhunting
safetyrelated,safetyrelated
"scuba&snorkelgear,masks,snorkels,fins","scuba&snorkelgear,masks,snorkels,fins"
shorelineandrecreationalactivites,shorelineandrecreationalactivites
packingmaterial,packagingmaterials
ocean/waterwayactivities,ocean/waterwayactivities
entertainmentandtoys,entertainmentandtoys
clothingandtextiles,clothingandtextiles
other,other