Survey Sheet Name,Ecosystem,Substrate,Organization,Location,URL,Trash Survey
,,,,,,
5 Gyres Plastic Beach Microplastic Protocol,Marine,Unknown,Research,Global,,Y
,,,,,,
AAAS Water Diplomacy Symposium List,Marine,Unknown,Research,Global,,Y
,,,,,,
Abandoned and Derelict Vessels,Multiple,Unknown,Research,Global,,N
,,,,,,
Bald Head Island Conservancy,Marine,Unknown,Non-profit,US,,Y
,,,,,,
Blue Ocean Society for Marine Conservation,Marine,Unknown,Non-profit,US,,Y
,,,,,,
Clean Ocean Access,Marine,Unknown,Non-profit,US,,Y
,,,,,,
Cordeiro,Marine,Sediment,Research,Brazil,https://paperpile.com/shared/qlwaO6,Y
,,,,,,
Corpus Christi Storm Water Runoff,Multiple,Unknown,Government,US,,Y
,,,,,,
CRESSIDA List- Albanian,Unknown,Unknown,Unknown,Albania,,Y
,,,,,,
CRESSIDA List- English,Unknown,Unknown,Unknown,UK,,Y
,,,,,,
Debris Items of Local Concern,Multiple,Unknown,Research,Global,,N
,,,,,,
Deciduous Trees,Multiple,Unknown,Research,Global,,N
,,,,,,
Derelict Crab Trap List,Multiple,Unknown,Research,Global,,Y
,,,,,,
Derwent Estuary List,Inland,Unknown,Non-profit,Australia,,Y
,,,,,,
Dumping Activities,Multiple,Unknown,Research,Global,,N
,,,,,,
eXXpedition,Marine,Unknown,Research,Global,,Y
,,,,,,
Fernandino,Marine,Water,Research,Brazil,https://paperpile.com/shared/oJOW8l,Y
,,,,,,
Fish Aggregating Devices,Multiple,Unknown,Research,Global,,Y
,,,,,,
Fullbright Vietnam Project,Multiple,Unknown,Non-profit,Vietnam,,Y
,,,,,,
GA Sea Turtle Center,Marine,Unknown,Non-profit,,,Y
,,,,,,
Ganga Prahari,Inland,Unknown,Non-profit,India,,Y
,,,,,,
Goal- Clean Seas Florida Keys,Marine,Unknown,Research,US,,Y
,,,,,,
Gracia,Marine,Sediment,Research,Colombia,https://paperpile.com/shared/8q5KYc,Y
,,,,,,
ICC Data Card,Marine,Unknown,Research,Global,,Y
,,,,,,
Indonesian Waste Platform,Multiple,Unknown,Multiple,Indonesia,,Y
,,,,,,
Internacional Coastal Cleanup Lista en espanol,Marine,Unknown,Research,Global,,Y
,,,,,,
Jordan Royal Marine Conservation Society,Marine,Unknown,Non-profit,Jordan,,Y
,,,,,,
JRC,Marine,Multiple,Government,Europe,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC83985/lb-na-26113-en-n.pdf,Y
,,,,,,
Keep America Beautiful,Inland,Sediment,Non-profit,US,https://www.sciencedirect.com/science/article/abs/pii/S0140196312002625?via%3Dihub#appseca1,Y
,,,,,,
Keep Tampa Bay Beautiful,Multiple,Unknown,Multiple,US,,Y
,,,,,,
Lee,Marine,Water,Research,Korea,https://paperpile.com/shared/DEzmlI,Y
,,,,,,
Lets Do It World,Multiple,Unknown,Non-profit,Estonia,,Y
,,,,,,
Marine Conservation Society,Marine,Multiple,Non-profit,UK,https://ars.els-cdn.com/content/image/1-s2.0-S0048969716325918-gr11.jpg,Y
,,,,,,
Marine Debris Items,Multiple,Unknown,Research,Global,,Y
,,,,,,
Marine Debris List,Multiple,Unknown,Research,Global,,Y
,,,,,,
Marine Debris Tracker,Multiple,Unknown,Research,Global,,Y
,,,,,,
Maryland Department of the Environment,Inland,Sediment,Government,US,https://doee.dc.gov/sites/default/files/dc/sites/ddoe/publication/attachments/Final_Anacostia_Trash_TMDL.pdf,Y
,,,,,,
McCormick,Inland,Water,Research,US,https://paperpile.com/shared/B0CJeq,Y
,,,,,,
Medical and Personal Hygiene,Multiple,Unknown,Research,Global,,Y
,,,,,,
Microplastics,Multiple,Unknown,Research,Global,,Y
,,,,,,
Nat Geo Source to Sea Expedition List,Inland,Unknown,Research,Global,,Y
,,,,,,
Nelms,Marine,Sediment,Research,UK,https://www.sciencedirect.com/science/article/pii/S0048969716325918?via%3Dihub,Y
,,,,,,
NOAA,Marine,Sediment,Government,US,https://drive.google.com/open?id=1fnq-5GOPWFkYc6dx3eOQECYmhTuvs3vb,Y
,,,,,,
Ocean and Waterway Activities,Multiple,Unknown,Research,Global,,Y
,,,,,,
Ocean Conservancy ICC List,Marine,Unknown,Research,Global,,Y
,,,,,,
Ocean Conservancy,Marine,Sediment,Non-profit,Global,https://oceanconservancy.org/wp-content/uploads/2017/04/OC-DataCards_volunteerFINAL_ENG.pdf,Y
,,,,,,
Oigman,Marine,Sediment,Research,Brazil,https://paperpile.com/shared/DEzmlI,Y
,,,,,,
Open Litter Map,Unknown,Unknown,Research,Global,,Y
,,,,,,
Open Ocean Hourly Observation,Unknown,Unknown,Unknown,,,N
,,,,,,
OSPAR,Marine,Sediment,Government,Global,https://www.ospar.org/ospar-data/10-02e_beachlitter%20guideline_english%20only.pdf,Y
,,,,,,
Our Ocean Youth Summit,Multiple,Unknown,Research,Norway,,Y
,,,,,,
Project AWARE,Marine,Water,Non-profit,Global,https://www.projectaware.org/sites/default/files/2017-06/569DT_DAD_Data_Card_v2_2_EN_formfields.pdf,Y
,,,,,,
Rapid Trash Assessment,Inland,Water,Government,US,https://www.waterboards.ca.gov/sanfranciscobay/docs/swampthrashreport.pdf,Y
,,,,,,
Rech,Multiple,Sediment,Research,Chile,https://paperpile.com/shared/8q5KYc,Y
,,,,,,
Rozalia Project Long List,Marine,Unknown,Research,Global,,Y
,,,,,,
Rozalia Project Short List,Marine,Unknown,Research,Global,,Y
,,,,,,
Russian Waste Hub,Multiple,Unknown,Research,Russia,,Y
,,,,,,
Sarasota Dolphin Research Program Debris Team,Marine,Unknown,Research,US,,Y
,,,,,,
SMC,Marine,Sediment,Research,US,http://checker.sccwrp.org/checker/scraper?action=help&layer=lu_debristypes,Y
,,,,,,
Sea Education Association,Marine,Unknown,Research,US,,Y
,,,,,,
SeaBin Data Collection,Marine,Unknown,Research,Global,,Y
,,,,,,
Shoreline and Recreational Activities,Multiple,Unknown,Research,Global,,N
,,,,,,
Site Assessment,Multiple,Unknown,Research,Global,,N
,,,,,,
Smoking Related Activities,Multiple,Unknown,Research,Global,,Y
,,,,,,
Surfrider Foundation Europe- Wastes Quantificatio,Multiple,Unknown,Non-profit,Europe,,Y
,,,,,,
Sustainable Seas Trust,Multiple,Unknown,Non-profit,Africa,,Y
,,,,,,
Te Tai Tokerau Debris Monitoring Project,Marine,Unknown,Multiple,New Zealand,,Y
,,,,,,
The Ocean Race,Marine,Unknown,Unknown,Global,,Y
,,,,,,
Tracking California's Trash,Inland,Sediment,Research,US,https://paperpile.com/shared/Hma3NY,Y
,,,,,,
USVI Marine Debris for NOAA,Marine,Unknown,Research,US,,Y
,,,,,,
van der Velde,Marine,Sediment,Research,Australia,https://paperpile.com/shared/B4Qrdy,Y
,,,,,,
Vincent,Inland,Sediment,Research,US,https://paperpile.com/shared/Xln5zn%20%C2%A0,Y
,,,,,,
Waste Receptacles,Multiple,Unknown,Research,Global,,N
,,,,,,
Weisboydlund Expedition,Marine,Unknown,Unknown,Greenland,,Y
,,,,,,
WildTeam Bangladesh,Multiple,Unknown,Non-profit,Bangladesh,,Y
,,,,,,
Williams,Inland,Sediment,Research,Netherlands,https://paperpile.com/shared/7Uw5Gd,Y
,,,,,,
Willis,Inland,Water,Research,Australia,https://paperpile.com/shared/RnZH1N,Y
,,,,,,
Zylstra,Inland,Sediment,Research,US,https://www.sciencedirect.com/science/article/abs/pii/S0140196312002625?via%3Dihub#appseca1,Y
